table_name,constraint_name,constraint_def
opportunities,fk_opportunities_lead_id__leads_id,FOREIGN KEY (lead_id) REFERENCES leads(id) ON DELETE SET NULL
opportunities,fk_opportunities_org_id__organizations,FOREIGN KEY (org_id) REFERENCES organizations(id) ON UPDATE CASCADE ON DELETE CASCADE
opportunities,fk_opportunities_org_id__organizations_id,FOREIGN KEY (org_id) REFERENCES organizations(id) ON DELETE CASCADE
opportunities,opportunities_pkey,PRIMARY KEY (id)
org_ai_profiles,fk_org_ai_profiles_org_id__organizations_id,FOREIGN KEY (org_id) REFERENCES organizations(id) ON DELETE CASCADE
org_ai_profiles,org_ai_profiles_pkey,PRIMARY KEY (id)
org_ai_settings,fk_org_ai_settings_org_id__organizations_id,FOREIGN KEY (org_id) REFERENCES organizations(id) ON DELETE CASCADE
org_ai_settings,org_ai_settings_pkey,PRIMARY KEY (id)
org_credits,fk_org_credits_org_id__organizations,FOREIGN KEY (org_id) REFERENCES organizations(id) ON UPDATE CASCADE ON DELETE CASCADE
org_credits,org_credits_pkey,PRIMARY KEY (id)
org_credits_usage,org_credits_usage_pkey,PRIMARY KEY (id)
org_features,fk_org_features_org_id__organizations_id,FOREIGN KEY (org_id) REFERENCES organizations(id) ON DELETE CASCADE
org_features,org_features_org_id_key,UNIQUE (org_id)
org_features,org_features_pkey,PRIMARY KEY (id)
org_integration_logs,fk_org_integration_logs_org_id__organizations,FOREIGN KEY (org_id) REFERENCES organizations(id) ON UPDATE CASCADE ON DELETE CASCADE
org_integration_logs,fk_org_integration_logs_org_id__organizations_id,FOREIGN KEY (org_id) REFERENCES organizations(id) ON DELETE CASCADE
org_integration_logs,org_integration_logs_pkey,PRIMARY KEY (id)
org_integrations,fk_org_integrations_org_id__organizations,FOREIGN KEY (org_id) REFERENCES organizations(id) ON UPDATE CASCADE ON DELETE CASCADE
org_integrations,fk_org_integrations_org_id__organizations_id,FOREIGN KEY (org_id) REFERENCES organizations(id) ON DELETE CASCADE
org_integrations,org_integrations_pkey,PRIMARY KEY (id)
org_plan_events,org_plan_events_pkey,PRIMARY KEY (id)
org_plan_history,fk_org_plan_history_org_id__organizations_id,FOREIGN KEY (org_id) REFERENCES organizations(id) ON DELETE CASCADE
org_plan_history,fk_org_plan_history_plan_id__plans_id,FOREIGN KEY (plan_id) REFERENCES plans(id) ON DELETE SET NULL
org_plan_history,org_plan_history_pkey,PRIMARY KEY (id)
org_settings,fk_org_settings_org_id__organizations_id,FOREIGN KEY (org_id) REFERENCES organizations(id) ON DELETE CASCADE
org_settings,org_settings_pkey,PRIMARY KEY (id)
org_subscriptions,fk_org_subscriptions_org_id__organizations_id,FOREIGN KEY (org_id) REFERENCES organizations(id) ON DELETE CASCADE
org_subscriptions,fk_org_subscriptions_plan_id__plans_id,FOREIGN KEY (plan_id) REFERENCES plans(id) ON DELETE SET NULL
org_subscriptions,org_subscriptions_pkey,PRIMARY KEY (id)
org_users,fk_org_users_org_id__organizations,FOREIGN KEY (org_id) REFERENCES organizations(id) ON UPDATE CASCADE ON DELETE CASCADE
org_users,fk_org_users_org_id__organizations_id,FOREIGN KEY (org_id) REFERENCES organizations(id) ON DELETE CASCADE
org_users,fk_org_users_user_id__users,FOREIGN KEY (user_id) REFERENCES users(id) ON UPDATE CASCADE ON DELETE CASCADE
org_users,fk_org_users_user_id__users_id,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE CASCADE
org_users,org_users_pkey,PRIMARY KEY (id)
organizations,chk_organizations_status,"CHECK (((status IS NULL) OR (status = ANY (ARRAY['active'::text, 'trial'::text, 'suspended'::text, 'canceled'::text, 'inactive'::text]))))"
organizations,organizations_pkey,PRIMARY KEY (id)
organizations,organizations_slug_key,UNIQUE (slug)
payments,fk_payments_org_id__organizations_id,FOREIGN KEY (org_id) REFERENCES organizations(id) ON DELETE CASCADE
payments,payments_pkey,PRIMARY KEY (id)
plan_credits,fk_plan_credits_plan_id__plans_id,FOREIGN KEY (plan_id) REFERENCES plans(id) ON DELETE CASCADE
plan_credits,plan_credits_pkey,PRIMARY KEY (id)
plan_features,fk_plan_features_plan_id__plans_id,FOREIGN KEY (plan_id) REFERENCES plans(id) ON DELETE CASCADE
plan_features,plan_features_pkey,PRIMARY KEY (id)
plans,chk_plans_price_nonneg,CHECK ((price_cents >= 0))
plans,plans_code_key,UNIQUE (code)
plans,plans_pkey,PRIMARY KEY (id)
plans,ux_plans_code,UNIQUE (code)
plans_meta,fk_plans_meta_plan_id__plans_id,FOREIGN KEY (plan_id) REFERENCES plans(id) ON DELETE CASCADE
plans_meta,plans_meta_pkey,PRIMARY KEY (id)
post_approvals,fk_post_approvals_approver_id__users_id,FOREIGN KEY (approver_id) REFERENCES users(id) ON DELETE SET NULL
post_approvals,fk_post_approvals_post_id__posts_id,FOREIGN KEY (post_id) REFERENCES posts(id) ON DELETE CASCADE
post_approvals,post_approvals_pkey,PRIMARY KEY (id)
posts,posts_pkey,PRIMARY KEY (id)
professionals,professionals_pkey,PRIMARY KEY (id)
purchases,fk_purchases_org_id__organizations_id,FOREIGN KEY (org_id) REFERENCES organizations(id) ON DELETE CASCADE
purchases,purchases_pkey,PRIMARY KEY (id)
quick_replies,fk_quick_replies_company_id__organizations_id,FOREIGN KEY (company_id) REFERENCES organizations(id) ON DELETE CASCADE
quick_replies,quick_replies_pkey,PRIMARY KEY (id)
reminder_logs,reminder_logs_pkey,PRIMARY KEY (id)
repurpose_jobs,fk_repurpose_jobs_post_id__posts_id,FOREIGN KEY (post_id) REFERENCES posts(id) ON DELETE CASCADE
repurpose_jobs,repurpose_jobs_pkey,PRIMARY KEY (id)
rewards,rewards_pkey,PRIMARY KEY (id)
segments,segments_pkey,PRIMARY KEY (id)
